rate_date	close	open	high	low	change_percent
2018-3-16	6.3254	6.3288	6.3345	6.3175	-0.07
2018-3-15	6.3296	6.3069	6.3303	6.2995	0.36
2018-3-14	6.3069	6.3254	6.329	6.3	-0.31
2018-3-13	6.3266	6.3243	6.3338	6.3132	0.03
2018-3-12	6.3246	6.3261	6.3318	6.3188	-0.03
2018-3-9	6.3266	6.3434	6.3537	6.3205	-0.26
2018-3-8	6.3433	6.319	6.3454	6.317	0.37
2018-3-7	6.3199	6.3091	6.3301	6.3076	0.15
2018-3-6	6.3104	6.3355	6.3465	6.307	-0.39
2018-3-5	6.3349	6.328	6.3438	6.3222	0.09
2018-3-2	6.3289	6.349	6.3674	6.3239	-0.30
2018-3-1	6.3479	6.3308	6.3692	6.3299	0.26
2018-2-28	6.3312	6.3257	6.3343	6.3197	0.08
2018-2-27	6.3262	6.2954	6.3286	6.2877	0.49
2018-2-26	6.2951	6.3273	6.3322	6.2941	-0.51
2018-2-23	6.3275	6.3348	6.3442	6.3242	-0.11
2018-2-22	6.3343	6.3385	6.3556	6.328	-0.06
2018-2-21	6.338	6.3422	6.3477	6.3136	-0.04
2018-2-20	6.3406	6.3041	6.3418	6.3026	0.56
2018-2-19	6.3055	6.2981	6.3103	6.2901	0.12
2018-2-16	6.2982	6.2818	6.3022	6.2693	0.26
2018-2-15	6.2818	6.3119	6.3139	6.2799	-0.49
2018-2-14	6.3125	6.3332	6.3514	6.3071	-0.34
2018-2-13	6.3342	6.3247	6.3499	6.32	0.16
2018-2-12	6.3238	6.3145	6.3452	6.297	0.15
2018-2-9	6.3145	6.3624	6.3729	6.3013	-0.78
2018-2-8	6.3639	6.3209	6.3792	6.2966	0.70
2018-2-7	6.3199	6.2813	6.3258	6.2558	0.61
2018-2-6	6.2814	6.3115	6.3199	6.2754	-0.48
2018-2-5	6.312	6.3126	6.3186	6.2828	-0.01
2018-2-2	6.3129	6.2912	6.3156	6.277	0.35
2018-2-1	6.291	6.2982	6.3129	6.2868	-0.13
2018-1-31	6.2992	6.3286	6.3373	6.2844	-0.48
2018-1-30	6.3298	6.3374	6.3516	6.3197	-0.13
2018-1-29	6.338	6.3205	6.349	6.3136	0.19
2018-1-26	6.3258	6.3288	6.3427	6.3114	-0.06
2018-1-25	6.3295	6.3496	6.3601	6.2965	-0.31
2018-1-24	6.3489	6.3975	6.4	6.3455	-0.78
2018-1-23	6.3986	6.4018	6.4138	6.3897	-0.10
2018-1-22	6.4047	6.4023	6.4162	6.3957	0.07
2018-1-19	6.4002	6.4199	6.4214	6.3875	-0.33
2018-1-18	6.4213	6.4314	6.4435	6.4164	-0.17
2018-1-17	6.4322	6.4381	6.4444	6.415	-0.08
2018-1-16	6.4371	6.4295	6.4478	6.4237	0.10
2018-1-15	6.4305	6.4592	6.4608	6.415	-0.46
2018-1-12	6.4601	6.4897	6.4969	6.4597	-0.49
2018-1-11	6.4921	6.5241	6.5291	6.4893	-0.47
2018-1-10	6.5228	6.532	6.5453	6.5084	-0.19
2018-1-9	6.535	6.4966	6.5396	6.4962	0.59
2018-1-8	6.4965	6.4776	6.5019	6.4658	0.25
2018-1-5	6.4805	6.4905	6.4919	6.4726	-0.18
2018-1-4	6.4919	6.4949	6.5105	6.4818	-0.09
2018-1-3	6.4977	6.5022	6.511	6.4906	-0.07
2018-1-2	6.5022	6.5148	6.5191	6.4886	-0.18
2018-1-1	6.514	6.514	6.5148	6.514	0.00
2017-12-29	6.514	6.5321	6.5355	6.5098	-0.26
2017-12-28	6.5309	6.5536	6.5578	6.5248	-0.35
2017-12-27	6.5538	6.5411	6.5639	6.5405	0.19
2017-12-26	6.5412	6.5524	6.5564	6.5342	-0.22
2017-12-25	6.5557	6.5664	6.5715	6.5438	-0.14
2017-12-22	6.5652	6.5653	6.577	6.5614	-0.02
2017-12-21	6.5664	6.5649	6.5836	6.5473	0.02
2017-12-20	6.5648	6.6045	6.6073	6.5623	-0.62
2017-12-19	6.6059	6.6091	6.6177	6.6022	-0.05
2017-12-18	6.609	6.6062	6.619	6.6047	0.03
2017-12-15	6.6067	6.6051	6.6136	6.6007	-0.01
2017-12-14	6.6071	6.6131	6.6166	6.6041	-0.09
2017-12-13	6.6131	6.6272	6.6319	6.6115	-0.22
2017-12-12	6.6277	6.6222	6.6335	6.619	0.09
2017-12-11	6.6215	6.6245	6.6274	6.6175	-0.03
2017-12-8	6.6232	6.6248	6.6299	6.6172	-0.01
2017-12-7	6.6239	6.6175	6.625	6.6159	0.09
2017-12-6	6.618	6.6185	6.6254	6.6136	0.01
2017-12-5	6.6176	6.6163	6.6276	6.6113	0.01
2017-12-4	6.6171	6.5983	6.6258	6.5983	0.34
2017-12-1	6.5949	6.6117	6.618	6.5933	-0.25
2017-11-30	6.6114	6.611	6.6283	6.6092	-0.01
2017-11-29	6.6122	6.6087	6.6236	6.5977	0.06
2017-11-28	6.6081	6.5983	6.611	6.5943	0.16
2017-11-27	6.5975	6.5877	6.6032	6.5869	0.14
2017-11-24	6.5883	6.5777	6.6052	6.5681	0.14
2017-11-23	6.5791	6.5966	6.6022	6.5782	-0.26
2017-11-22	6.5961	6.6276	6.6357	6.596	-0.46
2017-11-21	6.6269	6.6453	6.6516	6.6252	-0.28
2017-11-20	6.6452	6.6361	6.6529	6.6341	0.13
2017-11-17	6.6368	6.6333	6.6483	6.6232	0.06
2017-11-16	6.633	6.6322	6.6414	6.6296	0.01
2017-11-15	6.6324	6.6363	6.6412	6.6195	-0.07
2017-11-14	6.6368	6.6581	6.6585	6.6367	-0.31
2017-11-13	6.6574	6.6614	6.6641	6.6489	-0.05
2017-11-10	6.6607	6.6475	6.6631	6.6391	0.19
2017-11-9	6.6484	6.6314	6.6562	6.6266	0.25
2017-11-8	6.632	6.6408	6.648	6.6285	-0.15
2017-11-7	6.6418	6.6268	6.646	6.6192	0.26
2017-11-6	6.6249	6.6369	6.6458	6.6228	-0.16
2017-11-3	6.6354	6.6063	6.6391	6.6052	0.43
2017-11-2	6.607	6.609	6.6173	6.5861	-0.03
2017-11-1	6.609	6.6331	6.6419	6.6056	-0.34
2017-10-31	6.6315	6.6361	6.6409	6.622	-0.07
2017-10-30	6.6364	6.6482	6.6527	6.6361	-0.17
2017-10-27	6.6476	6.6543	6.6662	6.6451	-0.09
2017-10-26	6.6536	6.6372	6.6573	6.6269	0.24
2017-10-25	6.6376	6.6418	6.6524	6.6359	-0.08
2017-10-24	6.6426	6.6364	6.6437	6.6265	0.10
2017-10-23	6.6359	6.6234	6.6442	6.6219	0.19
2017-10-20	6.6235	6.6058	6.6281	6.6041	0.26
2017-10-19	6.606	6.6205	6.6405	6.6041	-0.22
2017-10-18	6.6208	6.6064	6.6326	6.5969	0.22
2017-10-17	6.6063	6.5821	6.6197	6.5813	0.36
2017-10-16	6.5829	6.5673	6.5867	6.5645	0.23
2017-10-13	6.5678	6.5785	6.5884	6.5609	-0.16
2017-10-12	6.5784	6.5736	6.5896	6.5678	0.07
2017-10-11	6.5739	6.5656	6.5927	6.5572	0.11
2017-10-10	6.5667	6.6147	6.6165	6.564	-0.74
2017-10-9	6.6154	6.6505	6.6567	6.6089	-0.54
2017-10-6	6.6514	6.6552	6.6654	6.646	-0.04
2017-10-5	6.6543	6.649	6.6592	6.6372	0.09
2017-10-4	6.6486	6.6669	6.6691	6.638	-0.29
2017-10-3	6.6677	6.6734	6.6914	6.6589	-0.09
2017-10-2	6.6734	6.648	6.6803	6.6453	0.40
2017-9-29	6.647	6.654	6.6758	6.6376	-0.11
2017-9-28	6.6543	6.6391	6.6792	6.6353	0.22
2017-9-27	6.6398	6.6278	6.6505	6.6235	0.18
2017-9-26	6.6281	6.6105	6.6449	6.6055	0.24
2017-9-25	6.612	6.5797	6.6192	6.5793	0.46
2017-9-22	6.5814	6.5681	6.587	6.5641	0.20
2017-9-21	6.5682	6.586	6.6047	6.5579	-0.29
2017-9-20	6.587	6.585	6.5973	6.565	0.04
2017-9-19	6.5843	6.5732	6.5965	6.5691	0.17
2017-9-18	6.5733	6.5477	6.5791	6.5456	0.40
2017-9-15	6.547	6.5422	6.5523	6.5411	0.06
2017-9-14	6.5428	6.5472	6.5713	6.5421	-0.07
2017-9-13	6.5475	6.5367	6.5492	6.5225	0.19
2017-9-12	6.5351	6.538	6.5518	6.5315	-0.06
2017-9-11	6.5393	6.5084	6.5407	6.5061	0.56
2017-9-8	6.503	6.4874	6.5206	6.4441	0.27
2017-9-7	6.4852	6.5408	6.5431	6.484	-0.87
2017-9-6	6.5419	6.5401	6.5523	6.5327	0.04
2017-9-5	6.5396	6.5285	6.5606	6.5282	0.16
2017-9-4	6.5291	6.5654	6.5678	6.5257	-0.49
2017-9-1	6.5615	6.5942	6.597	6.5452	-0.52
2017-8-31	6.5956	6.5991	6.6097	6.5923	-0.05
2017-8-30	6.5991	6.6077	6.6138	6.5834	-0.13
2017-8-29	6.608	6.6182	6.6286	6.5973	-0.15
2017-8-28	6.6182	6.6437	6.6443	6.6167	-0.37
2017-8-25	6.6431	6.661	6.6654	6.6421	-0.27
2017-8-24	6.6608	6.6612	6.6654	6.6547	-0.03
2017-8-23	6.6627	6.6679	6.673	6.6613	-0.08
2017-8-22	6.6682	6.6716	6.6753	6.6596	-0.04
2017-8-21	6.6711	6.6815	6.6851	6.6684	-0.16
2017-8-18	6.6819	6.6861	6.69	6.6778	-0.07
2017-8-17	6.6863	6.6881	6.6897	6.6759	-0.04
2017-8-16	6.6887	6.696	6.7076	6.6875	-0.11
2017-8-15	6.6962	6.6894	6.7042	6.6847	0.10
2017-8-14	6.6898	6.6749	6.6916	6.6696	0.25
2017-8-11	6.6733	6.6677	6.6967	6.6589	0.09
2017-8-10	6.6671	6.6918	6.6945	6.6662	-0.37
2017-8-9	6.6921	6.7118	6.7192	6.691	-0.29
2017-8-8	6.7116	6.7315	6.7322	6.702	-0.28
2017-8-7	6.7306	6.7341	6.7373	6.7255	-0.06
2017-8-4	6.7348	6.728	6.7368	6.7187	0.08
2017-8-3	6.7295	6.7296	6.738	6.7261	-0.01
2017-8-2	6.7301	6.7291	6.7351	6.7227	0.01
2017-8-1	6.7296	6.7269	6.7325	6.7163	0.04
2017-7-31	6.7271	6.735	6.7382	6.7245	-0.16
2017-7-28	6.7379	6.7461	6.7508	6.7351	-0.11
2017-7-27	6.7453	6.7424	6.7473	6.7246	0.03
2017-7-26	6.7432	6.7598	6.7611	6.7413	-0.23
2017-7-25	6.7587	6.7484	6.7602	6.7442	0.13
2017-7-24	6.7496	6.7587	6.7633	6.7441	-0.14
2017-7-21	6.7591	6.7572	6.7671	6.7553	0.04
2017-7-20	6.7561	6.7598	6.773	6.7533	-0.05
2017-7-19	6.7593	6.7474	6.7599	6.7418	0.17
2017-7-18	6.748	6.7636	6.7684	6.7423	-0.24
2017-7-17	6.764	6.7663	6.7734	6.7597	-0.01
2017-7-14	6.765	6.7822	6.7868	6.7638	-0.25
2017-7-13	6.7818	6.786	6.7891	6.7734	-0.07
2017-7-12	6.7865	6.8006	6.8019	6.7837	-0.21
2017-7-11	6.8008	6.806	6.8123	6.7973	-0.08
2017-7-10	6.806	6.8032	6.81	6.7968	0.05
2017-7-7	6.8029	6.7992	6.805	6.7949	0.04
2017-7-6	6.8	6.7991	6.8066	6.7937	0.00
2017-7-5	6.8001	6.8057	6.8089	6.7905	-0.09
2017-7-4	6.8065	6.7958	6.8094	6.7943	0.14
2017-7-3	6.7973	6.7812	6.8011	6.7747	0.24
2017-6-30	6.7807	6.7952	6.7982	6.7603	-0.18
2017-6-29	6.7929	6.8041	6.8062	6.7801	-0.16
2017-6-28	6.8037	6.8136	6.8167	6.7961	-0.16
2017-6-27	6.8143	6.8543	6.8593	6.8081	-0.63
2017-6-26	6.8575	6.8398	6.8598	6.8345	0.28
2017-6-23	6.8383	6.8361	6.845	6.8346	0.02
2017-6-22	6.8372	6.8311	6.8378	6.826	0.09
2017-6-21	6.8311	6.8237	6.8342	6.8186	0.11
2017-6-20	6.8238	6.8278	6.8384	6.8216	-0.06
2017-6-19	6.8277	6.8114	6.8313	6.8067	0.23
2017-6-16	6.812	6.807	6.8345	6.8011	0.07
2017-6-15	6.8071	6.7863	6.8134	6.7801	0.31
2017-6-14	6.786	6.786	6.7933	6.7727	-0.04
2017-6-13	6.7888	6.795	6.7993	6.7869	-0.10
2017-6-12	6.7959	6.7861	6.7993	6.7846	0.14
2017-6-9	6.7862	6.7843	6.7968	6.7823	0.05
2017-6-8	6.7826	6.7745	6.786	6.7654	0.12
2017-6-7	6.7742	6.755	6.7818	6.7541	0.28
2017-6-6	6.7555	6.781	6.7851	6.7543	-0.39
2017-6-5	6.7818	6.7749	6.7886	6.7744	0.11
2017-6-2	6.7744	6.7504	6.7954	6.7492	0.36
2017-6-1	6.7503	6.7458	6.7743	6.7237	0.05
2017-5-31	6.7467	6.8238	6.8381	6.7427	-1.14
2017-5-30	6.8246	6.8187	6.8341	6.8183	0.04
2017-5-29	6.8217	6.819	6.8281	6.8026	0.01
2017-5-26	6.8212	6.8494	6.8561	6.8161	-0.41
2017-5-25	6.8495	6.876	6.8815	6.8459	-0.35
2017-5-24	6.8737	6.8789	6.8898	6.8725	-0.10
2017-5-23	6.8803	6.8781	6.8838	6.8764	0.03
2017-5-22	6.8784	6.8736	6.8849	6.8735	0.07
2017-5-19	6.8739	6.884	6.892	6.873	-0.13
2017-5-18	6.8831	6.8718	6.8889	6.8702	0.18
2017-5-17	6.8709	6.8755	6.8843	6.8706	-0.07
2017-5-16	6.8757	6.8908	6.8919	6.873	-0.23
2017-5-15	6.8915	6.8974	6.9028	6.8863	-0.09
